"","SID","Station","AvgDLSpF","Latitude","Longitude","Elevation","DisttoCoas","geometry"
"59",59,"Hawkinsville, GA",75.22,32.28,-83.47,245,171.734,c(-83.4718793153021, 32.2803920418604)
"60",60,"Tifton, GA",87.27,31.45,-83.48,380,101.132,c(-83.48, 31.45)
"61",61,"Quitman, GA",65.49,30.78,-83.57,185,56.35,c(-83.57, 30.78)
"62",62,"Covington, GA",90.71,33.6,-83.85,769,201.843,c(-83.85, 33.6)
"63",63,"Gainesville, GA",89.53,34.3,-83.87,1170,230.759,c(-83.87, 34.3)
"64",64,"Albany, GA",73.85,31.53,-84.15,180,101.198,c(-84.15, 31.53)
"65",65,"Tallahassee, FL",75.78,30.4,-84.35,55,23.236,c(-84.35, 30.4)
"66",66,"Talbotton, GA",92.15,32.68,-84.52,640,180.942,c(-84.52, 32.68)
"67",67,"Newnan, GA",90.88,33.45,-84.82,894,232.163,c(-84.82, 33.45)
"68",68,"Rome, GA",97.27,34.25,-85.15,659,278.889,c(-85.15, 34.25)
"69",69,"West Point, GA",85.63,32.87,-85.18,575,187.456,c(-85.18, 32.87)
"70",70,"Valley Head, AL",109.88,34.57,-85.62,1020,294.992,c(-85.62, 34.57)
"71",71,"Union Springs, AL",82.27,32.02,-85.75,440,121.515,c(-85.75, 32.02)
"72",72,"Troy, AL",74.41,31.8,-85.97,542,103.576073,c(-85.97, 31.8)
"73",73,"Scottsboro, AL",98.02,34.67,-86.05,615,298.914,c(-86.05, 34.67)
"74",74,"De Funiak Springs, FL",71.33,30.72,-86.1,245,29.394,c(-86.1, 30.72)
"75",75,"Talladega, AL",97.83,33.42,-86.13,448,212.841,c(-86.13, 33.42)
"76",76,"Saint Bernard, AL",99.85,34.17,-86.82,800,252.062,c(-86.82, 34.17)
