Key,Name,Period,Long,Lat
123,Leptodesma (Leptodesma),Frasnian,-79.410599,40.2533
124,Leptodesma (Leptodesma),Frasnian,-76.705803,41.673599
125,Leptodesma (Leptodesma),Givetian,-78.504204,40.186001
126,Palaeoneilo constricta,Givetian,-78.435799,40.3936
127,Palaeoneilo constricta,Givetian,-76.953903,40.473598
128,Palaeoneilo,Givetian,-78.106003,40.484699
129,Praewaagenoconcha,Frasnian,-80.151604,41.6413
130,Productella,Famennian,-79.630501,41.930199
131,Productella,Famennian,-78.661598,41.8708
132,Pseudoatrypa,Famennian,-76.721901,41.973301
133,Ptychopteria,Frasnian,-76.518303,41.957199
134,Ptychopteria,Givetian,-78.671303,39.930801
135,Actinopteria,Givetian,-78.486397,39.816898
136,Floweria chemungensis,Frasnian,-79.190598,41.8311
137,Floweria chemungensis,Famennian,-79.4561,41.4953
138,Floweria chemungensis,Frasnian,-76.505798,41.965599
139,Spinatrypa,Frasnian,-77.694,41.782501
140,Tylothyris mesacostalis,Frasnian,-77.300797,41.7486
141,Tylothyris mesacostalis,Frasnian,-77.104103,41.8424
142,Tylothyris mesacostalis,Frasnian,-76.513603,41.957199
143,Anchisauripus milfordensis,Norian,-76.75,40.1525
144,Anchisauripus milfordensis,Norian,-77.057899,40.001499
145,Rhynchosauroides hyperbates,Norian,-75.45639,40.1525
146,Atreipus,Norian,-75.454445,40.225555
147,Lecanospira compacta,Deming,-77.783333,40.733334
148,Lecanospira compacta,Deming,-78.199997,40.466667
149,Lecanospira compacta,Deming,-77.849998,40.799999
150,Macluritella multiseptarius,Deming,-78.166664,40.516666
151,Revueltosaurus,Norian,-76.728333,40.021667
152,Pseudosaratogia,Dolgellian,-78.199997,40.383331
153,Anchisauripus milfordensis,Rhaetian,-75.803612,40.286667
154,Eubrontes giganteus,Rhaetian,-75.862228,40.273548
155,Grallator cuneatus,Norian,-75.460152,40.247086
156,Rhynchosauroides brunswickii,Norian,-75.26889,40.198696
157,Hallipterus lacoanus,Late Devonian,-76.050003,41.610001
158,Titusvillia drakei,Late Famennian,-79.669998,41.630001
159,Calathospongia tidioutensis,Late Famennian,-79.620003,41.619999
160,Calathospongia,Famennian,-79.209999,41.869999
161,Corticospongia bradfordensis,Famennian,-78.660004,41.869999
162,Lonchocephalus,Merioneth,-77.933334,40.816666
163,Ankoura,Merioneth,-78.116669,40.700001
164,Lonchocephalus,Merioneth,-78.449997,40.016666
165,Ankoura,Merioneth,-77.933334,40.833332
166,Edaphosauridae,Missourian,-79.77639,40.405834
167,Brachiopoda,Missourian,-78.990829,40.950558
168,Brachychirotherium,Rhaetian,-75.839996,40.305832
169,Anchisauripus milfordensis,Norian,-75.727936,40.263302
170,Rhynchosauroides,Norian,-75.826721,40.3022
171,Grallator (Eubrontes),Norian,-75.786743,40.31139
172,Gwyneddichnium,Norian,-75.832649,40.31205
173,Grallator (Eubrontes),Norian,-75.839905,40.312778
174,Rhynchosauroides hyperbates,Norian,-75.588272,40.244633
175,Grallator (Eubrontes),Norian,-75.833961,40.317619
176,Orthotheca shriveri,Emsian,-77.75,40.966667
177,Kinzercystis durhami,Dyeran,-78.291389,41.041668
178,Lepidocystis wanneri,Dyeran,-76.727776,40.021667
179,Sphodrosaurus pennsylvanicus,Norian,-75.997223,40.195831
180,Platygonus vetus,Pleistocene,-77.5,40.75
181,Eothele tubulus,Dyeran,-76.853333,39.923332
182,Pionoceras swartzi,Deming,-77.792503,40.775555
183,Stemtonoceras elongatum,Tremadocian,-75.49028,40.608334
184,Mammut americanum,Late Pleistocene,-78.388885,40.427223
185,Rutiodon carolinensis,Norian,-76.768059,40.052776
186,Metoposauridae,Norian,-75.51667,40.133331
187,Capitosauroidea,Norian,-75.050003,40.333332
188,Phytosauria,Norian,-75.51667,40.494446
189,Palaeotherates pennsylvanicus,Westphalian C,-75.790001,41.360001
190,Metropator pusillus,Yeadonian,-76.210999,40.783001
191,Hapaloptera gracilis,Westphalian C,-76.394997,40.605
192,Solutotherates analis,Westphalian C,-76.165001,40.730999
193,Hazelia walcotti,Dyeran,-76.366669,40.059723
194,Amboneura klosei,Westphalian C,-76.150002,40.737999
195,Protorthoptera,Westphalian C,-75.989998,40.91
196,Orthomylacris pauperata,Westphalian C,-75.813004,41.313
197,Mylacris pennsylvanica,Westphalian,-80.474998,40.798
198,Mammut americanum,Pleistocene,-75.110001,41.047501
199,Phyloblatta prior,Westphalian C,-76.5,40.625
200,Plagioblatta campbelli,Westphalian,-78.809998,40.650002
201,Asemoblatta pennsylvanica,Westphalian,-75.738335,41.36972
202,Mylacridae carbonina,Stephanian C,-75.878998,41.243
